時間,成交價,成交張數
2024-05-19 13:07:50,513.0,1.0
2024-05-19 13:07:45,513.0,1.0
2024-05-19 13:07:40,513.0,1.0
2024-05-19 13:07:35,513.0,5.0
2024-05-19 13:07:30,513.0,1.0
2024-05-19 13:07:25,513.0,4.0
2024-05-19 13:07:20,513.0,2.0
2024-05-19 13:07:15,513.0,2.0
2024-05-19 13:07:10,513.0,1.0
2024-05-19 13:07:05,513.0,1.0
2024-05-19 13:07:00,513.0,1.0
2024-05-19 13:06:55,513.0,1.0
2024-05-19 13:06:50,513.0,0.0
2024-05-19 13:06:45,513.0,1.0
2024-05-19 13:06:40,513.0,1.0
2024-05-19 13:06:35,513.0,1.0
2024-05-19 13:06:30,513.0,0.0
2024-05-19 13:06:25,513.0,4.0
2024-05-19 13:06:20,513.0,1.0
2024-05-19 13:06:15,513.0,0.0
2024-05-19 13:06:10,513.0,1.0
2024-05-19 13:06:05,513.0,1.0
2024-05-19 13:06:00,513.0,0.0
2024-05-19 13:05:55,513.0,4.0
2024-05-19 13:05:50,513.0,1.0
2024-05-19 13:05:45,513.0,1.0
2024-05-19 13:05:40,513.0,0.0
2024-05-19 13:05:35,513.0,1.0
2024-05-19 13:05:30,513.0,6.0
2024-05-19 13:05:25,513.0,1.0
2024-05-19 13:05:20,513.0,3.0
2024-05-19 13:05:15,513.0,1.0
2024-05-19 13:05:10,513.0,2.0
2024-05-19 13:05:05,513.0,1.0
2024-05-19 13:05:00,513.0,1.0
2024-05-19 13:04:55,513.0,0.0
2024-05-19 13:04:50,513.0,8.0
2024-05-19 13:04:45,513.0,2.0
2024-05-19 13:04:40,513.0,1.0
2024-05-19 13:04:35,513.0,0.0
2024-05-19 13:04:30,513.0,1.0
2024-05-19 13:04:25,512.0,2.0
2024-05-19 13:04:20,513.0,0.0
2024-05-19 13:04:15,513.0,1.0
2024-05-19 13:04:10,513.0,1.0
2024-05-19 13:04:05,513.0,1.0
2024-05-19 13:04:00,513.0,4.0
2024-05-19 13:03:55,513.0,1.0
2024-05-19 13:03:50,513.0,1.0
2024-05-19 13:03:45,513.0,2.0
2024-05-19 13:03:40,513.0,1.0
2024-05-19 13:03:35,513.0,1.0
2024-05-19 13:03:30,513.0,10.0
2024-05-19 13:03:25,513.0,4.0
2024-05-19 13:03:20,512.0,0.0
2024-05-19 13:03:15,512.0,135.0
2024-05-19 13:03:10,511.0,1.0
2024-05-19 13:03:05,511.0,0.0
2024-05-19 13:03:00,511.0,6.0
2024-05-19 13:02:55,511.0,1.0
2024-05-19 13:02:50,511.0,2.0
2024-05-19 13:02:45,511.0,0.0
2024-05-19 13:02:40,511.0,26.0
2024-05-19 13:02:35,511.0,6.0
2024-05-19 13:02:30,511.0,0.0
2024-05-19 13:02:25,511.0,3.0
2024-05-19 13:02:20,511.0,43.0
2024-05-19 13:02:15,511.0,1.0
2024-05-19 13:02:10,510.0,2.0
2024-05-19 13:02:05,511.0,1.0
2024-05-19 13:02:00,511.0,1.0
2024-05-19 13:01:55,511.0,0.0
2024-05-19 13:01:50,511.0,2.0
2024-05-19 13:01:45,511.0,1.0
2024-05-19 13:01:40,511.0,2.0
2024-05-19 13:01:35,511.0,2.0
2024-05-19 13:01:30,511.0,1.0
2024-05-19 13:01:25,511.0,4.0
2024-05-19 13:01:20,511.0,1.0
2024-05-19 13:01:15,511.0,1.0
2024-05-19 13:01:10,511.0,1.0
2024-05-19 13:01:05,511.0,0.0
2024-05-19 13:01:00,511.0,1.0
2024-05-19 13:00:55,511.0,1.0
2024-05-19 13:00:50,511.0,1.0
2024-05-19 13:00:45,511.0,3.0
2024-05-19 13:00:40,511.0,1.0
2024-05-19 13:00:35,511.0,0.0
2024-05-19 13:00:30,511.0,1.0
2024-05-19 13:00:25,511.0,1.0
2024-05-19 13:00:20,511.0,0.0
2024-05-19 13:00:15,511.0,1.0
2024-05-19 13:00:10,511.0,1.0
2024-05-19 13:00:05,511.0,2.0
2024-05-19 13:00:00,511.0,0.0
2024-05-19 12:59:55,511.0,1.0
2024-05-19 12:59:50,511.0,1.0
2024-05-19 12:59:45,511.0,0.0
2024-05-19 12:59:40,511.0,1.0
2024-05-19 12:59:35,511.0,1.0
2024-05-19 12:59:30,511.0,0.0
2024-05-19 12:59:25,511.0,1.0
2024-05-19 12:59:20,511.0,1.0
2024-05-19 12:59:15,511.0,1.0
2024-05-19 12:59:10,511.0,4.0
2024-05-19 12:59:05,511.0,1.0
2024-05-19 12:59:00,511.0,0.0
2024-05-19 12:58:55,511.0,1.0
2024-05-19 12:58:50,511.0,1.0
2024-05-19 12:58:45,511.0,1.0
2024-05-19 12:58:40,511.0,1.0
2024-05-19 12:58:35,511.0,2.0
2024-05-19 12:58:30,511.0,4.0
2024-05-19 12:58:25,511.0,0.0
2024-05-19 12:58:20,511.0,1.0
2024-05-19 12:58:15,511.0,1.0
2024-05-19 12:58:10,510.0,0.0
2024-05-19 12:58:05,510.0,5.0
2024-05-19 12:58:00,510.0,1.0
2024-05-19 12:57:55,510.0,1.0
2024-05-19 12:57:50,510.0,0.0
2024-05-19 12:57:45,510.0,2.0
2024-05-19 12:57:40,510.0,1.0
2024-05-19 12:57:35,510.0,1.0
2024-05-19 12:57:30,510.0,1.0
2024-05-19 12:57:25,510.0,2.0
2024-05-19 12:57:20,510.0,0.0
2024-05-19 12:57:15,510.0,1.0
2024-05-19 12:57:10,510.0,2.0
2024-05-19 12:57:05,510.0,0.0
2024-05-19 12:57:00,510.0,1.0
2024-05-19 12:56:55,510.0,1.0
2024-05-19 12:56:50,510.0,1.0
2024-05-19 12:56:45,510.0,5.0
2024-05-19 12:56:40,510.0,10.0
2024-05-19 12:56:35,510.0,2.0
2024-05-19 12:56:30,510.0,0.0
2024-05-19 12:56:25,510.0,1.0
2024-05-19 12:56:20,510.0,1.0
2024-05-19 12:56:15,510.0,0.0
2024-05-19 12:56:10,510.0,1.0
2024-05-19 12:56:05,510.0,1.0
2024-05-19 12:56:00,511.0,0.0
2024-05-19 12:55:55,511.0,1.0
2024-05-19 12:55:50,511.0,1.0
2024-05-19 12:55:45,511.0,0.0
2024-05-19 12:55:40,511.0,1.0
2024-05-19 12:55:35,511.0,1.0
2024-05-19 12:55:30,510.0,11.0
2024-05-19 12:55:25,511.0,0.0
2024-05-19 12:55:20,511.0,2.0
2024-05-19 12:55:15,511.0,1.0
2024-05-19 12:55:10,511.0,0.0
2024-05-19 12:55:05,511.0,1.0
2024-05-19 12:55:00,511.0,1.0
2024-05-19 12:54:55,511.0,0.0
2024-05-19 12:54:50,511.0,1.0
2024-05-19 12:54:45,511.0,1.0
2024-05-19 12:54:40,511.0,1.0
2024-05-19 12:54:35,511.0,0.0
2024-05-19 12:54:30,511.0,1.0
2024-05-19 12:54:25,511.0,0.0
2024-05-19 12:54:20,511.0,1.0
2024-05-19 12:54:15,511.0,1.0
2024-05-19 12:54:10,510.0,2.0
2024-05-19 12:54:05,511.0,1.0
2024-05-19 12:54:00,510.0,2.0
2024-05-19 12:53:55,511.0,1.0
2024-05-19 12:53:50,511.0,0.0
2024-05-19 12:53:45,511.0,1.0
2024-05-19 12:53:40,511.0,1.0
2024-05-19 12:53:35,511.0,0.0
2024-05-19 12:53:30,511.0,1.0
2024-05-19 12:53:25,511.0,1.0
2024-05-19 12:53:20,510.0,2.0
2024-05-19 12:53:15,511.0,0.0
2024-05-19 12:53:10,511.0,3.0
2024-05-19 12:53:05,510.0,2.0
2024-05-19 12:53:00,511.0,1.0
2024-05-19 12:52:55,511.0,1.0
2024-05-19 12:52:50,511.0,1.0
2024-05-19 12:52:45,511.0,0.0
2024-05-19 12:52:40,511.0,1.0
2024-05-19 12:52:35,511.0,1.0
2024-05-19 12:52:30,511.0,0.0
2024-05-19 12:52:25,511.0,1.0
2024-05-19 12:52:20,511.0,1.0
2024-05-19 12:52:15,511.0,1.0
2024-05-19 12:52:10,511.0,1.0
2024-05-19 12:52:05,511.0,1.0
2024-05-19 12:52:00,511.0,1.0
2024-05-19 12:51:55,511.0,0.0
2024-05-19 12:51:50,511.0,1.0
2024-05-19 12:51:45,511.0,1.0
2024-05-19 12:51:40,511.0,0.0
2024-05-19 12:51:35,511.0,1.0
2024-05-19 12:51:30,511.0,1.0
2024-05-19 12:51:25,511.0,0.0
2024-05-19 12:51:20,511.0,1.0
2024-05-19 12:51:15,511.0,1.0
2024-05-19 12:51:10,509.0,1.0
2024-05-19 12:51:05,511.0,2.0
2024-05-19 12:51:00,510.0,1.0
2024-05-19 12:50:55,510.0,17.0
2024-05-19 12:50:50,510.0,1.0
2024-05-19 12:50:45,510.0,2.0
2024-05-19 12:50:40,510.0,1.0
2024-05-19 12:50:35,510.0,0.0
2024-05-19 12:50:30,510.0,1.0
2024-05-19 12:50:25,510.0,1.0
2024-05-19 12:50:20,510.0,0.0
2024-05-19 12:50:15,510.0,1.0
2024-05-19 12:50:10,510.0,3.0
2024-05-19 12:50:05,510.0,1.0
2024-05-19 12:50:00,510.0,0.0
2024-05-19 12:49:55,510.0,2.0
2024-05-19 12:49:50,510.0,0.0
2024-05-19 12:49:45,510.0,1.0
2024-05-19 12:49:40,510.0,1.0
2024-05-19 12:49:35,510.0,1.0
2024-05-19 12:49:30,510.0,0.0
2024-05-19 12:49:25,510.0,1.0
2024-05-19 12:49:20,510.0,1.0
2024-05-19 12:49:15,510.0,0.0
2024-05-19 12:49:10,510.0,1.0
2024-05-19 12:49:05,510.0,1.0
2024-05-19 12:49:00,510.0,0.0
2024-05-19 12:48:55,510.0,1.0
2024-05-19 12:48:50,509.0,2.0
2024-05-19 12:48:45,510.0,1.0
2024-05-19 12:48:40,510.0,0.0
2024-05-19 12:48:35,510.0,1.0
2024-05-19 12:48:30,510.0,1.0
2024-05-19 12:48:25,510.0,0.0
2024-05-19 12:48:20,510.0,1.0
2024-05-19 12:48:15,510.0,1.0
2024-05-19 12:48:10,510.0,0.0
2024-05-19 12:48:05,510.0,1.0
2024-05-19 12:48:00,510.0,1.0
2024-05-19 12:47:55,510.0,0.0
2024-05-19 12:47:50,510.0,1.0
2024-05-19 12:47:45,510.0,1.0
2024-05-19 12:47:40,510.0,1.0
2024-05-19 12:47:35,510.0,0.0
2024-05-19 12:47:30,510.0,1.0
2024-05-19 12:47:25,510.0,2.0
2024-05-19 12:47:20,510.0,0.0
2024-05-19 12:47:15,510.0,1.0
2024-05-19 12:47:10,510.0,1.0
2024-05-19 12:47:05,510.0,0.0
2024-05-19 12:47:00,510.0,1.0
2024-05-19 12:46:55,510.0,1.0
2024-05-19 12:46:50,510.0,4.0
2024-05-19 12:46:45,510.0,34.0
2024-05-19 12:46:40,511.0,1.0
2024-05-19 12:46:35,511.0,0.0
2024-05-19 12:46:30,511.0,1.0
2024-05-19 12:46:25,511.0,1.0
2024-05-19 12:46:20,511.0,1.0
2024-05-19 12:46:15,511.0,0.0
2024-05-19 12:46:10,511.0,1.0
2024-05-19 12:46:05,511.0,1.0
2024-05-19 12:46:00,510.0,0.0
2024-05-19 12:45:55,510.0,5.0
2024-05-19 12:45:50,511.0,1.0
2024-05-19 12:45:45,511.0,0.0
2024-05-19 12:45:40,511.0,1.0
2024-05-19 12:45:35,511.0,1.0
2024-05-19 12:45:30,511.0,1.0
2024-05-19 12:45:25,511.0,0.0
2024-05-19 12:45:20,511.0,2.0
2024-05-19 12:45:15,511.0,1.0
2024-05-19 12:45:10,511.0,0.0
2024-05-19 12:45:05,511.0,1.0
2024-05-19 12:45:00,511.0,1.0
2024-05-19 12:44:55,511.0,0.0
2024-05-19 12:44:50,511.0,1.0
2024-05-19 12:44:45,511.0,1.0
2024-05-19 12:44:40,511.0,0.0
2024-05-19 12:44:35,511.0,1.0
2024-05-19 12:44:30,511.0,1.0
2024-05-19 12:44:25,511.0,1.0
2024-05-19 12:44:20,511.0,1.0
2024-05-19 12:44:15,511.0,1.0
2024-05-19 12:44:10,510.0,4.0
2024-05-19 12:44:05,511.0,1.0
2024-05-19 12:44:00,511.0,1.0
2024-05-19 12:43:55,511.0,1.0
2024-05-19 12:43:50,511.0,1.0
2024-05-19 12:43:45,511.0,1.0
2024-05-19 12:43:40,510.0,2.0
2024-05-19 12:43:35,511.0,0.0
2024-05-19 12:43:30,511.0,1.0
2024-05-19 12:43:25,511.0,1.0
2024-05-19 12:43:20,511.0,0.0
2024-05-19 12:43:15,511.0,1.0
2024-05-19 12:43:10,511.0,1.0
2024-05-19 12:43:05,511.0,15.0
2024-05-19 12:43:00,511.0,0.0
2024-05-19 12:42:55,511.0,0.0
2024-05-19 12:42:50,511.0,0.0
2024-05-19 12:42:45,511.0,0.0
2024-05-19 12:42:40,511.0,0.0
2024-05-19 12:42:35,511.0,0.0
2024-05-19 12:42:30,511.0,1.0
2024-05-19 12:42:25,511.0,1.0
2024-05-19 12:42:20,511.0,3.0
2024-05-19 12:42:15,511.0,1.0
2024-05-19 12:42:10,511.0,0.0
2024-05-19 12:42:05,511.0,1.0
2024-05-19 12:42:00,511.0,0.0
2024-05-19 12:41:55,511.0,1.0
2024-05-19 12:41:50,511.0,1.0
2024-05-19 12:41:45,511.0,2.0
2024-05-19 12:41:40,511.0,0.0
2024-05-19 12:41:35,511.0,1.0
2024-05-19 12:41:30,511.0,1.0
2024-05-19 12:41:25,512.0,8.0
2024-05-19 12:41:20,511.0,1.0
2024-05-19 12:41:15,511.0,3.0
2024-05-19 12:41:10,512.0,5.0
2024-05-19 12:41:05,511.0,6.0
2024-05-19 12:41:00,511.0,1.0
2024-05-19 12:40:55,511.0,1.0
2024-05-19 12:40:50,512.0,1.0
2024-05-19 12:40:45,512.0,3.0
2024-05-19 12:40:40,512.0,1.0
2024-05-19 12:40:35,512.0,0.0
2024-05-19 12:40:30,512.0,1.0
2024-05-19 12:40:25,511.0,1.0
2024-05-19 12:40:20,511.0,0.0
2024-05-19 12:40:15,511.0,1.0
2024-05-19 12:40:10,511.0,1.0
2024-05-19 12:40:05,511.0,3.0
2024-05-19 12:40:00,512.0,1.0
2024-05-19 12:39:55,512.0,1.0
2024-05-19 12:39:50,511.0,4.0
2024-05-19 12:39:45,511.0,0.0
2024-05-19 12:39:40,511.0,1.0
2024-05-19 12:39:35,511.0,1.0
2024-05-19 12:39:30,511.0,0.0
2024-05-19 12:39:25,511.0,1.0
2024-05-19 12:39:20,511.0,1.0
2024-05-19 12:39:15,511.0,0.0
2024-05-19 12:39:10,511.0,1.0
2024-05-19 12:39:05,511.0,1.0
2024-05-19 12:39:00,511.0,0.0
2024-05-19 12:38:55,511.0,1.0
2024-05-19 12:38:50,511.0,1.0
2024-05-19 12:38:45,511.0,0.0
2024-05-19 12:38:40,511.0,1.0
2024-05-19 12:38:35,511.0,2.0
2024-05-19 12:38:30,510.0,2.0
2024-05-19 12:38:25,511.0,0.0
2024-05-19 12:38:20,511.0,1.0
2024-05-19 12:38:15,511.0,1.0
2024-05-19 12:38:10,511.0,0.0
2024-05-19 12:38:05,511.0,1.0
2024-05-19 12:38:00,511.0,1.0
2024-05-19 12:37:55,511.0,0.0
2024-05-19 12:37:50,511.0,1.0
2024-05-19 12:37:45,511.0,1.0
2024-05-19 12:37:40,511.0,0.0
2024-05-19 12:37:35,511.0,1.0
2024-05-19 12:37:30,511.0,1.0
2024-05-19 12:37:25,511.0,2.0
2024-05-19 12:37:20,511.0,0.0
2024-05-19 12:37:15,511.0,1.0
2024-05-19 12:37:10,511.0,1.0
2024-05-19 12:37:05,511.0,0.0
2024-05-19 12:37:00,511.0,1.0
2024-05-19 12:36:55,511.0,1.0
2024-05-19 12:36:50,511.0,0.0
2024-05-19 12:36:45,511.0,1.0
2024-05-19 12:36:40,511.0,1.0
2024-05-19 12:36:35,511.0,1.0
2024-05-19 12:36:30,511.0,0.0
2024-05-19 12:36:25,511.0,1.0
2024-05-19 12:36:20,511.0,7.0
2024-05-19 12:36:15,512.0,0.0
2024-05-19 12:36:10,512.0,1.0
2024-05-19 12:36:05,512.0,1.0
2024-05-19 12:36:00,512.0,0.0
2024-05-19 12:35:55,512.0,2.0
2024-05-19 12:35:50,512.0,1.0
2024-05-19 12:35:45,511.0,0.0
2024-05-19 12:35:40,511.0,1.0
2024-05-19 12:35:35,511.0,3.0
2024-05-19 12:35:30,512.0,1.0
2024-05-19 12:35:25,512.0,0.0
2024-05-19 12:35:20,512.0,1.0
2024-05-19 12:35:15,512.0,2.0
2024-05-19 12:35:10,512.0,8.0
2024-05-19 12:35:05,511.0,1.0
2024-05-19 12:35:00,511.0,1.0
2024-05-19 12:34:55,511.0,1.0
2024-05-19 12:34:50,511.0,0.0
2024-05-19 12:34:45,511.0,1.0
2024-05-19 12:34:40,511.0,1.0
